feature_id	meta_logFC	meta_se	meta_z	meta_p	tau2	I2	k	fdr	n	pos	neg	sign_concordance
1552519_at							1		1	1	0	1
1552520_at							1		1	0	1	1
1552521_a_at							1		1	0	1	1
1552522_at							1		1	1	0	1
1552523_a_at							1		1	0	1	1
1552524_at							1		1	0	1	1
1552526_at							1		1	0	1	1
1552528_at							1		1	1	0	1
1552531_a_at							1		1	1	0	1
1552532_a_at							1		1	0	1	1
1552535_at							1		1	0	1	1
1552536_at							1		1	1	0	1
1552538_a_at							1		1	0	1	1
1552540_s_at							1		1	0	1	1
1552541_at							1		1	1	0	1
1552542_s_at							1		1	1	0	1
1552543_a_at							1		1	0	1	1
1552544_at							1		1	1	0	1
1552546_a_at							1		1	0	1	1
1552548_at							1		1	0	1	1
1552549_a_at							1		1	0	1	1
1552552_s_at							1		1	0	1	1
1552553_a_at							1		1	1	0	1
1552554_a_at							1		1	1	0	1
1552555_at							1		1	1	0	1
1552557_a_at							1		1	0	1	1
1552558_a_at							1		1	1	0	1
1552559_a_at							1		1	0	1	1
1552562_at							1		1	1	0	1
1552563_a_at							1		1	1	0	1
1552564_at							1		1	0	1	1
1552566_at							1		1	0	1	1
1552568_at							1		1	0	1	1
1552569_a_at							1		1	0	1	1
1552570_at							1		1	0	1	1
1552572_a_at							1		1	0	1	1
1552573_s_at							1		1	0	1	1
1552575_a_at							1		1	1	0	1
1552576_at							1		1	0	1	1
1552578_a_at							1		1	0	1	1
1552579_a_at							1		1	0	1	1
1552580_at							1		1	1	0	1
1552582_at							1		1	0	1	1
1552583_s_at							1		1	1	0	1
1552584_at							1		1	1	0	1
1552585_s_at							1		1	0	1	1
1552586_at							1		1	0	1	1
1552587_at							1		1	1	0	1
1552588_a_at							1		1	0	1	1
1552590_a_at							1		1	0	1	1
1552592_at							1		1	0	1	1
1552594_at							1		1	0	1	1
1552596_at							1		1	0	1	1
1552598_at							1		1	0	1	1
1552599_at							1		1	0	1	1
1552602_at							1		1	1	0	1
1552604_at							1		1	1	0	1
1552605_s_at							1		1	0	1	1
1552607_at							1		1	0	1	1
1552608_at							1		1	0	1	1
1552609_s_at							1		1	0	1	1
1552610_a_at							1		1	0	1	1
1552611_a_at							1		1	1	0	1
1552612_at							1		1	1	0	1
1552613_s_at							1		1	1	0	1
1552615_at							1		1	1	0	1
1552616_a_at							1		1	1	0	1
1552617_a_at							1		1	0	1	1
1552618_at							1		1	1	0	1
1552619_a_at							1		1	1	0	1
1552620_at							1		1	0	1	1
1552621_at							1		1	1	0	1
1552622_s_at							1		1	1	0	1
1552623_at							1		1	1	0	1
1552625_a_at							1		1	0	1	1
1552626_a_at							1		1	1	0	1
1552627_a_at							1		1	0	1	1
1552628_a_at							1		1	0	1	1
1552629_a_at							1		1	1	0	1
1552630_a_at							1		1	0	1	1
1552631_a_at							1		1	0	1	1
1552632_a_at							1		1	0	1	1
1552633_at							1		1	1	0	1
1552634_a_at							1		1	1	0	1
1552637_at							1		1	1	0	1
1552639_at							1		1	1	0	1
1552641_s_at							1		1	0	1	1
1552643_at							1		1	0	1	1
1552644_a_at							1		1	0	1	1
1552646_at							1		1	0	1	1
1552648_a_at							1		1	1	0	1
1552649_a_at							1		1	0	1	1
1552651_a_at							1		1	0	1	1
1552652_at							1		1	1	0	1
1552656_s_at							1		1	1	0	1
1552657_a_at							1		1	1	0	1
1552658_a_at							1		1	1	0	1
1552660_a_at							1		1	0	1	1
1552661_at							1		1	0	1	1
1552662_a_at							1		1	0	1	1
1552663_a_at							1		1	0	1	1
1552664_at							1		1	1	0	1
1552665_at							1		1	0	1	1
1552666_a_at							1		1	0	1	1
1552667_a_at							1		1	1	0	1
1552669_at							1		1	0	1	1
1552670_a_at							1		1	0	1	1
1552671_a_at							1		1	0	1	1
1552672_a_at							1		1	0	1	1
1552673_at							1		1	1	0	1
1552674_at							1		1	1	0	1
1552675_at							1		1	0	1	1
1552676_at							1		1	1	0	1
1552677_a_at							1		1	0	1	1
1552678_a_at							1		1	0	1	1
1552680_a_at							1		1	1	0	1
1552682_a_at							1		1	0	1	1
1552684_a_at							1		1	0	1	1
1552685_a_at							1		1	0	1	1
1552686_at							1		1	0	1	1
1552687_a_at							1		1	1	0	1
1552689_at							1		1	0	1	1
1552690_a_at							1		1	1	0	1
1552691_at							1		1	1	0	1
1552693_at							1		1	1	0	1
1552694_at							1		1	0	1	1
1552695_a_at							1		1	0	1	1
1552696_at							1		1	1	0	1
1552698_at							1		1	1	0	1
1552701_a_at							1		1	1	0	1
1552703_s_at							1		1	1	0	1
1552705_at							1		1	0	1	1
1552708_a_at							1		1	0	1	1
1552711_a_at							1		1	0	1	1
1552712_a_at							1		1	1	0	1
1552713_a_at							1		1	1	0	1
1552714_at							1		1	0	1	1
1552715_a_at							1		1	1	0	1
1552716_at							1		1	0	1	1
1552717_s_at							1		1	1	0	1
1552718_at							1		1	0	1	1
1552719_at							1		1	1	0	1
1552721_a_at							1		1	0	1	1
1552722_at							1		1	0	1	1
1552724_at							1		1	0	1	1
1552725_s_at							1		1	0	1	1
1552726_at							1		1	0	1	1
1552727_s_at							1		1	0	1	1
1552729_at							1		1	0	1	1
1552730_at							1		1	1	0	1
1552731_at							1		1	0	1	1
1552732_at							1		1	0	1	1
1552733_at							1		1	0	1	1
1552734_at							1		1	0	1	1
1552735_at							1		1	0	1	1
1552736_a_at							1		1	1	0	1
1552737_s_at							1		1	0	1	1
1552738_a_at							1		1	1	0	1
1552739_s_at							1		1	0	1	1
1552740_at							1		1	0	1	1
1552742_at							1		1	1	0	1
1552743_at							1		1	0	1	1
1552745_at							1		1	1	0	1
1552747_a_at							1		1	0	1	1
1552749_a_at							1		1	1	0	1
1552750_at							1		1	0	1	1
1552751_a_at							1		1	0	1	1
1552752_a_at							1		1	0	1	1
1552754_a_at							1		1	0	1	1
1552755_at							1		1	1	0	1
1552757_s_at							1		1	1	0	1
1552758_at							1		1	0	1	1
1552760_at							1		1	0	1	1
1552761_at							1		1	0	1	1
1552763_at							1		1	1	0	1
1552765_x_at							1		1	0	1	1
1552766_at							1		1	0	1	1
1552767_a_at							1		1	1	0	1
1552768_at							1		1	0	1	1
1552769_at							1		1	0	1	1
1552770_s_at							1		1	1	0	1
1552771_a_at							1		1	0	1	1
1552772_at							1		1	1	0	1
1552773_at							1		1	0	1	1
1552774_a_at							1		1	0	1	1
1552775_at							1		1	0	1	1
1552777_a_at							1		1	0	1	1
1552779_a_at							1		1	0	1	1
1552782_at							1		1	1	0	1
1552783_at							1		1	1	0	1
1552785_at							1		1	0	1	1
1552787_at							1		1	0	1	1
1552788_a_at							1		1	1	0	1
1552789_at							1		1	0	1	1
1552790_a_at							1		1	0	1	1
1552791_a_at							1		1	0	1	1
1552792_at							1		1	0	1	1
1552793_at							1		1	1	0	1
1552794_a_at							1		1	1	0	1
1552796_a_at							1		1	1	0	1
1552797_s_at							1		1	0	1	1
1552798_a_at							1		1	1	0	1
1552799_at							1		1	0	1	1
1552800_at							1		1	0	1	1
1552801_at							1		1	0	1	1
1552803_a_at							1		1	1	0	1
1552804_a_at							1		1	0	1	1
1552806_a_at							1		1	1	0	1
1552807_a_at							1		1	1	0	1
1552808_at							1		1	0	1	1
1552809_at							1		1	0	1	1
1552811_at							1		1	0	1	1
1552812_a_at							1		1	0	1	1
1552813_at							1		1	0	1	1
1552814_a_at							1		1	0	1	1
1552816_at							1		1	0	1	1
1552818_a_at							1		1	1	0	1
1552819_at							1		1	0	1	1
1552822_at							1		1	0	1	1
1552825_at							1		1	0	1	1
1552826_at							1		1	0	1	1
1552827_s_at							1		1	0	1	1
1552828_at							1		1	0	1	1
1552829_at							1		1	1	0	1
1552830_at							1		1	1	0	1
1552833_at							1		1	0	1	1
1552834_at							1		1	0	1	1
1552835_at							1		1	0	1	1
1552836_at							1		1	1	0	1
1552837_at							1		1	0	1	1
1552839_at							1		1	1	0	1
1552841_s_at							1		1	0	1	1
1552842_at							1		1	1	0	1
1552843_at							1		1	0	1	1
1552845_at							1		1	0	1	1
1552846_s_at							1		1	1	0	1
1552848_a_at							1		1	0	1	1
1552849_at							1		1	1	0	1
1552851_at							1		1	1	0	1
1552852_a_at							1		1	0	1	1
1552853_at							1		1	1	0	1
1552854_a_at							1		1	1	0	1
1552856_at							1		1	0	1	1
1552857_a_at							1		1	0	1	1
1552858_at							1		1	1	0	1
1552860_at							1		1	1	0	1
1552862_at							1		1	0	1	1
1552863_a_at							1		1	1	0	1
1552865_a_at							1		1	0	1	1
1552867_at							1		1	0	1	1
1552868_at							1		1	1	0	1
1552870_s_at							1		1	1	0	1
1552872_at							1		1	0	1	1
1552873_s_at							1		1	0	1	1
1552875_a_at							1		1	1	0	1
1552876_at							1		1	0	1	1
1552877_s_at							1		1	1	0	1
1552878_at							1		1	0	1	1
1552879_a_at							1		1	1	0	1
1552880_at							1		1	0	1	1
1552882_a_at							1		1	1	0	1
1552884_at							1		1	1	0	1
1552885_a_at							1		1	1	0	1
1552887_at							1		1	1	0	1
1552889_a_at							1		1	1	0	1
1552890_a_at							1		1	0	1	1
1552892_at							1		1	0	1	1
1552893_at							1		1	0	1	1
1552895_a_at							1		1	0	1	1
1552897_a_at							1		1	1	0	1
1552898_a_at							1		1	1	0	1
1552899_at							1		1	1	0	1
1552900_a_at							1		1	1	0	1
1552902_a_at							1		1	0	1	1
1552903_at							1		1	0	1	1
1552904_at							1		1	0	1	1
1552906_at							1		1	1	0	1
1552908_at							1		1	0	1	1
1552910_at							1		1	1	0	1
1552911_at							1		1	0	1	1
1552912_a_at							1		1	0	1	1
1552913_at							1		1	1	0	1
1552914_a_at							1		1	1	0	1
1552915_at							1		1	1	0	1
1552917_at							1		1	1	0	1
1552919_at							1		1	0	1	1
1552921_a_at							1		1	1	0	1
1552922_at							1		1	1	0	1
1552923_a_at							1		1	1	0	1
1552924_a_at							1		1	1	0	1
1552925_at							1		1	1	0	1
1552927_at							1		1	1	0	1
1552928_s_at							1		1	0	1	1
1552929_at							1		1	1	0	1
1552930_at							1		1	1	0	1
1552931_a_at							1		1	0	1	1
1552932_at							1		1	0	1	1
1552933_at							1		1	0	1	1
1552935_at							1		1	0	1	1
1552937_s_at							1		1	0	1	1
1552938_at							1		1	0	1	1
1552939_at							1		1	1	0	1
1552940_at							1		1	0	1	1
1552942_at							1		1	1	0	1
1552943_at							1		1	0	1	1
1552944_a_at							1		1	1	0	1
1552946_at							1		1	1	0	1
1552947_x_at							1		1	1	0	1
1552948_at							1		1	1	0	1
1552950_at							1		1	1	0	1
1552952_at							1		1	1	0	1
1552953_a_at							1		1	0	1	1
1552954_at							1		1	0	1	1
1552955_at							1		1	0	1	1
1552957_at							1		1	0	1	1
1552960_at							1		1	0	1	1
1552961_at							1		1	0	1	1
1552964_at							1		1	0	1	1
1552965_a_at							1		1	0	1	1
1552967_at							1		1	0	1	1
1552969_a_at							1		1	0	1	1
1552970_s_at							1		1	0	1	1
1552971_at							1		1	1	0	1
1552972_at							1		1	0	1	1
1552973_at							1		1	0	1	1
1552974_at							1		1	0	1	1
1552975_x_at							1		1	0	1	1
1552976_at							1		1	0	1	1
1552977_a_at							1		1	1	0	1
1552978_a_at							1		1	0	1	1
1552979_at							1		1	1	0	1
1552980_at							1		1	0	1	1
1552982_a_at							1		1	0	1	1
1552985_at							1		1	0	1	1
1552986_at							1		1	0	1	1
1552987_a_at							1		1	1	0	1
1552988_at							1		1	0	1	1
1552990_at							1		1	0	1	1
1552991_at							1		1	0	1	1
1552993_at							1		1	1	0	1
1552995_at							1		1	0	1	1
1552997_a_at							1		1	1	0	1
1552998_at							1		1	0	1	1
1552999_a_at							1		1	1	0	1
1553002_at							1		1	0	1	1
1553003_at							1		1	0	1	1
1553004_at							1		1	1	0	1
1553006_at							1		1	1	0	1
1553007_a_at							1		1	1	0	1
1553009_s_at							1		1	1	0	1
1553011_at							1		1	1	0	1
1553013_at							1		1	0	1	1
1553015_a_at							1		1	0	1	1
1553016_at							1		1	0	1	1
1553019_at							1		1	0	1	1
1553020_at							1		1	1	0	1
1553021_s_at							1		1	0	1	1
1553022_at							1		1	0	1	1
1553023_a_at							1		1	0	1	1
1553024_at							1		1	0	1	1
1553025_at							1		1	1	0	1
1553027_a_at							1		1	0	1	1
